id,type,text1,text2,text3,text4,notes
,,,,,,
nskr_prosperity,SHIP,"The Prosperity-class battleship is the public face of Kesteven's naval doctrine: high-speed, high-caliber deterrence dressed in corporate polish. Decades behind schedule and funded through layers of creative accounting, it nonetheless delivers overwhelming frontal firepower and fast target acquisition, enabling it to break line formations and scatter heavier opposition with startling efficiency.

Originally conceived pre-Collapse as a Domain-sanctioned replacement for the Onslaught, the Prosperity project languished in development hell until Kesteven corporate leadership revived it with a mix of desperation and opportunism. Funded through an opaque series of DRA ""infrastructure reinvestments,"" the program resumed under intense Hegemonial pressure to deliver a flagship-class hull in the wake of the first AI war. Though only a partial realization of its original design, the rollout was a critical PR win for Kesteven - at significant cost to Asteria’s internal stability. The Hegemony, ironically, declined to adopt the hull due to the excessive manufacturing costs.",,,,
,,,,,,
nskr_nighthawk,SHIP,"The Nighthawk fills a straightforward role in Kesteven fleets as a line ship, pairing solid durability with concentrated firepower. It’s expensive to run, unpopular with maintenance crews, and has a bad reputation for being difficult to handle - but Asteria’s factories keep producing them nonetheless.

The Cruiser is a product of the short-lived ""Construction"" defense line - an ambitious pre-Collapse venture into high-performance warship design. Its intricate systems and steep upkeep costs doomed it in the civilian market. Recommissioned with little alteration beyond branding, it has gained a new lease on life under corporate control, primarily due to the lack of alternatives in the relatively young Kesteven warship catalogue.",,,,
,,,,,,
nskr_devilcatcher,SHIP,"Aggressive tactics at a premium, the Devilcatcher-class is Kesteven’s high-end fast cruiser - sleek, expensive, and built for velocity. It fields an unorthodox engine array enabling sharp bursts of speed and maneuverability well beyond standard cruiser performance, ideal for hit-and-fade strikes or rapid flanking actions.

The tradeoff is unforgiving: its drive system demands strict adherence to maintenance protocols, as even minor misalignments risk triggering catastrophic P-space cascade failures during activation. Unsurprisingly, the design was never popular outside of internal Kesteven use - but within corporate fleets, performance outweighs the margin for error.",,,,
,,,,,,
nskr_mercenary,SHIP,"Marketed to high-end independents, the Mercenary-class frigate is a polished offering from Kesteven's defense catalogue, designed to project competence as much as firepower. Thick armor plating, broad turret coverage, and an integrated projectile suppression field make it well-suited to close escort roles in volatile environments.

Its styling and build quality target the wealthy operator - those who need to look professional while staying alive. Beneath the brochure polish, however, lies the usual Kesteven compromise: performance comes at a steep cost, and repairs must be done to spec, or not at all.",,,,
,,,,,,
nskr_blackbird,SHIP,"The Blackbird functions as a precision killer, built for rapid interception and elimination of high-value targets. Fast, lightly armored, and heavily armed, it excels in aggressive maneuvers that leave little margin for error - or survival.

Originally a half-finished prototype shelved in the final years before the Collapse, the Blackbird-class was rushed into production during the chaos and never left it. Kesteven quickly discovered its value as a strike platform, and the design has seen continuous service since - streamlined, but still unmistakably a weapon born of crisis.
",,,,
,,,,,,
nskr_dragontail,SHIP,"Billed as the fastest mass-produced frigate ever built - according to Kesteven's own marketing, at least - the Dragontail-class is engineered for raw velocity and unorthodox mobility. Its light frame and overpowered engines allow for blistering acceleration, while the experimental “pullback” drive system enables sudden temporal repositioning mid-engagement.

Designed for striking slower targets and breaking formation lines, the Dragontail thrives when it's the fastest thing on the field, lending itself to high-risk engagements. The delicate tech remains poorly understood outside Kesteven labs, but the results are hard to argue with - when it works.",,,,
,,,,,,
nskr_kingstork,SHIP,"The first hull rolled out by the then-new Kesteven Construction defense branch, the Kingstork-class remains one of the company’s more successful designs. Straightforward, robust, and easy to maintain, it gained a rare degree of acceptance among independent captains and corporate crews alike.

Built around a strong shield and solid hull geometry, the Kingstork performs well in escort duties and close-range brawls. Its main drawback is a lackluster top speed, which leaves it struggling to reposition or retreat when larger threats enter the field. Still, for a Kesteven ship, it's unusually well-regarded - mostly because it works.",,,,
,,,,,,
nskr_kingslayer,SHIP,"The Kingslayer-class is a crude masterpiece: all speed, firepower, and contempt. Rumored to be the personal project of a bitter Kesteven engineer gone rogue, the ship first appeared in the waning years of the Collapse, cobbled together from retrofitted parts at an unregistered dockyard. The craftsmanship is precise, but entirely unorthodox - a vessel built to kill, not comply.

Capable well beyond the norms of post-Collapse design, the Kingslayer leaves only wreckage behind. It operates as a fast assault ship, optimized for shock engagements and raw destruction. Most who claim to have seen one are either dead or lying. Among spacers, it is less a class of ship than a whispered warning.",,,,
,,,,,,
nskr_stalwart,SHIP,"The Stalwart-class cruiser is a modernized support platform, built around experimental missile systems and designed to complement frontline units from a distance. Developed alongside the more prolific Champion-class as a budget-conscious alternative, it was intended to fill logistics-oriented roles without sacrificing battlefield presence.

Both designs were plagued by delays and technical setbacks that stalled Domain-era deployment. Post-Collapse, recovered blueprints allowed limited production to resume. While uncommon, the Stalwart has proven dependable when properly integrated - a situational asset that rewards careful fleet coordination.",,,,
,,,,,,
nskr_verity,SHIP,"The Verity-class represents the apex of late Domain-era warship design, showcasing advanced electronic suites and cutting-edge energy weapon integration. Released to market mere cycles before the Collapse, it remains one of the most technically refined hulls to see serial production.

Demanding to fly and maintain, the Verity trades durability for precision. Its high mobility and flexible weapon arcs allow for rapid, responsive strikes at varied ranges - in the hands of a capable pilot, it delivers consistent pressure across the line. In less competent hands, it burns out fast.",,,,
,,,,,,
nskr_rhea,SHIP,"The Rhea-class is an outlier among pirate-built ships: fast, aggressive, and engineered with a degree of technical competence that belies its origin. Armed with overwhelming firepower and built for rapid engagements, it’s the kind of threat that turns complacency into wreckage in seconds.

Its fragile frame and limited endurance make it a poor choice for the cautious, but under the right commander, it thrives in chaos. Fortunately for most, the Rhea remains rare - its design requires far more skill and infrastructure than the average back-alley shipyard can provide.",,,,
,,,,,,
nskr_borealis,SHIP,"The Borealis-class blends high-end scientific equipment with military capability, optimized for deep-space operations in contested regions. Outfitted with fleet-grade sensor suites, integrated command electronics, and multiple fighter bays, it provides both reconnaissance reach and force multiplication to any battlegroup it accompanies.

Despite its effectiveness as a support vessel, the Borealis remains a rare sight. The cost of construction rivals that of frontline warships, and its civilian classification ensures it’s often passed over for more combat-focused alternatives. Those few in operation, however, are prized assets.",,,,
,,,,,,
nskr_reverie,SHIP,"Among the most agile cruisers in known space, the Reverie-class is built for evasive operations and precision strikes. Its maneuverability makes it difficult to intercept without overwhelming force, and its modular weapons grid supports a variety of hit-and-run loadouts tailored to fast engagement cycles.

Its signature armament, an early version of the now-feared mine strike system, delivers concentrated missile salvos capable of punishing inattentive targets. While less devastating than its successors, it remains effective - especially when deployed from an angle the enemy never saw coming.",,,,
,,,,,,
nskr_malediction,SHIP,"The Malediction is a top-tier fast attack frigate, rivaling the vaunted Tempest in speed and lethality. Built for aggressive maneuvering and close-range dominance, it excels at hunting down other frigates and harassing slower targets with impunity.

Equipped with integrated Pursuer drones - a bleeding-edge weapons platform developed by Tri-Tachyon - the Malediction brings advanced autonomous fire support to any skirmish. Few ships in its class can match its precision or pressure, though like most experimental designs, it comes with a maintenance bill to match.",,,,
,,,,,,
nskr_pursuer,SHIP,"The Pursuer is an experimental weapons drone equipped with delta-core AI architecture, designed to exploit gaps in enemy defenses. Fast and difficult to target, it specializes in harassing distracted ships and drawing fire away from its host.

Its volatile EM core delivers an unexpected punch: on detonation, it releases a concentrated energy burst capable of damaging systems well beyond what its small frame suggests. Paired with the Malediction, the Pursuer acts as both decoy and dagger - a precision threat in miniature.",,,,
,,,,,,
